Article, (Url)

The purpose of DRM is not to prevent copyright violations (2013), (plus.google.com) 
Creative Cloud outage leaves Adobe users unable to work, (macuser.co.uk) 
Tremor-cancelling spoon for Parkinson's tremors, (liftlabsdesign.com) 
FCC approves plan to consider paid priority on Internet, (washingtonpost.com) 
Rackspace looks for exit options, (bloomberg.com) 
The Trade of the Century: When George Soros Broke the British Pound, (priceonomics.com) 
Pinterest Raises $200M, (readwrite.com) 
Mac keyboard shortcuts, (mattgemmell.com) 
FSF condemns partnership between Mozilla and Adobe to support DRM, (fsf.org) 
Show HN: Take It Apart, (takeitapart.com) 
What Do Animals See in a Mirror?, (nautil.us) 
Leaked NYT innovation report is one of the key documents of this media age, (niemanlab.org) 
An Opinionated Guide to Modern Java, Part 3: Web Development, (paralleluniverse.co) 
Early Superoptimizer Results, (regehr.org) 
N2O: Erlang Web Framework, (kukuruku.co) 
Woman’s cancer killed by measles virus in trial, (washingtonpost.com) 
OS X Command Line Utilities, (mitchchn.me) 
How extreme isolation warps the mind, (bbc.com) 
Amazon, AT&T, Snapchat rated among the least trustworthy with data, EFF finds, (computerworld.com) 
Chartio is hiring Senior Engineers, (chartio.com) 
The Economics of a Kickstarter Project , (medium.com) 
Dockerizing a Python Web App, (amazon.com) 
Show HN: BThread – Blockchain thread messaging and blog posting, (chrome.google.com) 
The Italian Man Who Inspired Google Web Search, (bloomberg.com) 
How do hedge funds get away with it? Eight theories, (newyorker.com) 
Show HN: Updn – HN/Reddit-style site where stories, votes, tips use Bitcoin, (github.com) 
The Pleasure of Designing your own Furniture, (medium.com) 
Send money to a customer’s checking account using their debit card number, (balancedpayments.com) 
Functional programming explained in Clojure with a terminal-based game, (braveclojure.com) 
Functional Programming Principles in Scala with Martin Odersky, (coursera.org) 
